journal	created	deposited	published.print	doi	indexed	issn	issue	issued	member	page	prefix	publisher	score	source	reference.count	references.count	is.referenced.by.count	subject	title	type	url	volume	short.container.title	published.online	language	update.policy	subtitle	archive_	na.	author.names	published_on	citations	is_oa	CiteScore	SJR	WebQualis	isbn
Lung	2011-08-18	2019-05-28	2011-10	10.1007/s00408-011-9316-1	2023-06-08	0341-2040,1432-1750	5	2011-08-20	297	425-431	10.1007	Springer Science and Business Media LLC	1	Crossref	29	29	16	Pulmonary and Respiratory Medicine	Comparison Between Cardiopulmonary Exercise Testing Parameters and Computed Tomography Findings in Patients with Thoracic Sarcoidosis	journal-article	http://dx.doi.org/10.1007/s00408-011-9316-1	189	Lung	2011-08-20	en	NA	NA	NA	NA	Agnaldo José Lopes, Sara Lucia Silveira de Menezes, Cristina Márcia Dias, Juliana Flávia de Oliveira, Míriam Raquel Meira Mainenti, Fernando Silva Guimarães	2011	16	FALSE	6.4	1.173	B1	NA
Gynecologic Oncology	2014-08-14	2019-08-13	2014-11	10.1016/j.ygyno.2014.08.014	2023-03-03	0090-8258	2	2014-11	78	292-296	10.1016	Elsevier BV	1	Crossref	41	41	13	Obstetrics and Gynecology,Oncology	Comparison of adenocarcinoma (ACA) and squamous cell carcinoma (SCC) of the uterine cervix in a sub-optimally screened cohort: A population-based epidemiologic study of 51,842 women in Brazil	journal-article	http://dx.doi.org/10.1016/j.ygyno.2014.08.014	135	Gynecologic Oncology	NA	en	http://dx.doi.org/10.1016/elsevier_cm_policy	NA	NA	NA	Angélica Nogueira-Rodrigues, Carlos Gil Ferreira, Anke Bergmann, Suzana Sales de Aguiar, Luiz Claudio Santos Thuler	2014	13	FALSE	8.4	1.674	A1	NA
MOJ Sports Medicine	2022-01-06	2022-01-06	NA	10.15406/mojsm.2020.04.00099	2022-11-22	2574-9935	3	2020-07-21	6139	81-85	10.15406	MedCrave Group, LLC	1	Crossref	0	0	2	Electrical and Electronic Engineering,Building and Construction	Comparison of ankle range of motion and functional performance between practitioners of resistance exercise with free-weight vs. Machine	journal-article	http://dx.doi.org/10.15406/mojsm.2020.04.00099	4	MOJSM	2020-07-21	NA	http://dx.doi.org/10.15406/crossmark-policy	NA	NA	NA	Alex Souto Maior, Eduardo Lobo, Marcos Braz, José Carlos de Campos Jr, Gustavo Leporace	2020	2	TRUE	NA	NA	B4	NA
Brazilian Journal Of Pain	2020-08-17	2020-08-17	2020	10.5935/2595-0118.20200187	2022-04-23	2595-0118	3	2020	3948	NA	10.5935	GN1 Genesis Network	1	Crossref	0	0	2	Applied Mathematics	Comparison of the effect of two virtual reality stimuli on pressure pain sensitivity and autonomic response	journal-article	http://dx.doi.org/10.5935/2595-0118.20200187	3	NA	NA	en	NA	NA	NA	NA	Thayná Caetano Alves Silva, Pamela Martin Bandeira, Amanda Dutra da Silva Ranzatto, Ney Armando Meziat-Filho, Leandro Alberto Calazans Nogueira, Orlando Fernandes Júnior, Felipe José Jandre dos Reis	2020	2	TRUE	NA	NA	B1	NA
Brazilian Journal Of Pain	2019-05-10	2020-09-03	2019	10.5935/2595-0118.20190030	2022-04-05	2595-0118	2	2019	3948	NA	10.5935	GN1 Genesis Network	1	Crossref	0	0	1	Applied Mathematics	ConheceDOR: the development of a board game for modern pain education for patients with musculoskeletal pain	journal-article	http://dx.doi.org/10.5935/2595-0118.20190030	2	NA	NA	en	NA	NA	NA	NA	Juliana Carvalho de Paiva Valentim, Ney Armando Meziat-Filho, Leandro Calazans Nogueira, Felipe J. Jandre Reis	2019	2	TRUE	NA	NA	B1	NA
Acta Ortopédica Brasileira	2013-08-28	2022-03-05	2013-08	10.1590/s1413-78522013000400003	2023-05-10	1413-7852	4	2013-08	530	198-201	10.1590	FapUNIFESP (SciELO)	1	Crossref	30	30	4	Rehabilitation,Physical Therapy, Sports Therapy and Rehabilitation,Orthopedics and Sports Medicine	Contribuição da avaliação dos sinais clínicos em pacientes com síndrome da dor patelofemural	journal-article	http://dx.doi.org/10.1590/s1413-78522013000400003	21	Acta ortop. bras.	NA	NA	NA	NA	NA	NA	Rogério Ferreira Liporaci, Marcelo Camargo Saad, Lílian Ramiro Felício, Augusto do Prado Baffa, Débora Bevilaqua Grossi	2013	4	TRUE	1.0	0.286	B1	NA
Brazilian Journal of Medical and Biological Research	2020-10-21	2021-01-24	NA	10.1590/1414-431x202010279	2022-03-31	1414-431X,0100-879X	12	2020	530	NA	10.1590	FapUNIFESP (SciELO)	1	Crossref	28	28	1	Cell Biology,General Pharmacology, Toxicology and Pharmaceutics,General Medicine,Immunology,Physiology,Biochemistry,General Neuroscience,Biophysics,Automotive Engineering	Contribution of lung function in predicting distance covered in the 6-min walk test in obese Brazilian women	journal-article	http://dx.doi.org/10.1590/1414-431x202010279	53	Braz J Med Biol Res	2020	NA	NA	NA	NA	NA	C.A. Luchesa, T.T. Mafort, R.R. Silva, I.C. Paro, F.M. Souza, A.J. Lopes	2020	1	TRUE	4.5	0.528	A3	NA
Journal of Physical Education	2018-05-15	2018-05-15	NA	10.4025/jphyseduc.v29i1.2936	2023-03-27	2448-2455	1	2018	2451	NA	10.4025	Universidade Estadual de Maringa	1	Crossref	0	0	3	Public Health, Environmental and Occupational Health,Education	CONTROLE POSTURAL DE ATLETAS COM DIFERENTES GRAUS DE  DEFICIÊNCIA VISUAL	journal-article	http://dx.doi.org/10.4025/jphyseduc.v29i1.2936	29	J Phys Educ	2018	NA	NA	NA	NA	NA	Claudemir do Nascimento Santos, Thiago Lemos de Carvalho, Lilian Ramiro Felício, Míriam Raquel  Meira Mainenti, Patrícia dos Santos Vigário	2018	3	TRUE	0.7	0.165	B1	NA
Revista Brasileira de Medicina do Esporte	2013-12-11	2020-08-11	2013-10	10.1590/s1517-86922013000500002	2022-04-06	1517-8692	5	2013-10	530	313-316	10.1590	FapUNIFESP (SciELO)	1	Crossref	30	30	2	Physical Therapy, Sports Therapy and Rehabilitation,Orthopedics and Sports Medicine	Controle postural e sistema vestíbulo-oculomotor em atletas de tiro esportivo da modalidade pistola	journal-article	http://dx.doi.org/10.1590/s1517-86922013000500002	19	Rev Bras Med Esporte	NA	NA	NA	NA	NA	NA	Carla Porto Lourenço, André Luís dos Santos Silva	2013	2	TRUE	0.8	0.177	B1	NA
Neurology International	2015-09-24	2020-10-27	NA	10.4081/ni.2015.5417	2022-04-03	2035-8377,2035-8385	2	2015-09-24	1968	NA	10.3390	MDPI AG	1	Crossref	0	0	1	Neurology (clinical)	Controlled study of correlation of biomechanical profile of hemiparetic patients with distance travelled in six minutes	journal-article	http://dx.doi.org/10.4081/ni.2015.5417	7	Neurol Int	2015-09-24	NA	NA	NA	NA	NA	Laís Moreira Moura, Mônica Maria Pena Quintão, Karen Santos R. De Carvalho, Beatriz Cantanhede Carrapatoso, Sabrina Lindenberg L. Malfacini, André Custódio Da Silva, Marco Orsini, Osvaldo J.M. Nascimento, Sergio S.M.C. Chermont	2015	1	TRUE	2.2	0.448	B2	NA
Lung	2014-07-21	2022-04-11	2014-10	10.1007/s00408-014-9626-1	2022-12-06	0341-2040,1432-1750	5	2014-07-22	297	653-659	10.1007	Springer Science and Business Media LLC	1	Crossref	42	42	18	Pulmonary and Respiratory Medicine	Correlations Between Small Airway Function, Ventilation Distribution, and Functional Exercise Capacity in COPD Patients	journal-article	http://dx.doi.org/10.1007/s00408-014-9626-1	192	Lung	2014-07-22	en	http://dx.doi.org/10.1007/springer_crossmark_policy	NA	NA	NA	Agnaldo José Lopes, Thiago Thomaz Mafort	2014	18	FALSE	6.4	1.173	B1	NA
NeuroImage: Clinical	2019-04-01	2019-08-28	2019	10.1016/j.nicl.2019.101808	2023-05-18	2213-1582	NA	2019	78	101808	10.1016	Elsevier BV	1	Crossref	79	79	2	Cognitive Neuroscience,Neurology (clinical),Neurology,Radiology, Nuclear Medicine and imaging	Cortical lateralization of cheirosensory processing in callosal dysgenesis	journal-article	http://dx.doi.org/10.1016/j.nicl.2019.101808	23	NeuroImage: Clinical	NA	en	http://dx.doi.org/10.1016/elsevier_cm_policy	NA	NA	NA	Myriam Monteiro, Ricardo de Oliveira-Souza, Juliana Andrade, Theo Marins, Erika de Carvalho Rodrigues, Ivanei Bramati, Roberto Lent, Jorge Moll, Fernanda Tovar-Moll	2019	2	TRUE	8.1	1.395	A2	NA
PLoS ONE	2014-04-14	2019-08-09	NA	10.1371/journal.pone.0094824	2023-05-29	1932-6203	4	2014-04-14	340	e94824	10.1371	Public Library of Science (PLoS)	1	Crossref	60	60	21	Multidisciplinary	Corticospinal Excitability Preceding the Grasping of Emotion-Laden Stimuli	journal-article	http://dx.doi.org/10.1371/journal.pone.0094824	9	PLoS ONE	2014-04-14	en	http://dx.doi.org/10.1371/journal.pone.corrections_policy	NA	NA	NA	Anaelli Aparecida Nogueira-Campos, Laura Alice Santos de Oliveira, Valeria Della-Maggiore, Paula Oliveira Esteves, Erika de Carvalho Rodrigues, Claudia D. Vargas	2014	21	TRUE	6.0	0.885	A1	NA
Respiratory Care	2011-08-01	2023-02-10	2011-08	10.4187/respcare.01092	2023-06-06	0020-1324,1943-3654	8	2011-08	2694	1164-1169	10.4187	Daedalus Enterprises	1	Crossref	0	0	7	Critical Care and Intensive Care Medicine,Pulmonary and Respiratory Medicine,General Medicine	CPAP Decreases Lung Hyperinflation in Patients With Stable COPD	journal-article	http://dx.doi.org/10.4187/respcare.01092	56	Respir Care	2012-11-26	en	NA	NA	NA	NA	Agnaldo J Lopes, Flávio POS Nery, Felipe C Sousa, Fernando S Guimarães, Cristina M Dias, Juliana F Oliveira, Sara LS Menezes	2011	7	TRUE	4.1	0.656	A3	NA
Brazilian Journal Of Pain	2023-02-08	2023-02-08	2022	10.5935/2595-0118.20220069-en	2023-02-09	2595-0118	1	2022	3948	NA	10.5935	GN1 Sistemas e Publicacoes Ltd.	1	Crossref	0	0	0	Applied Mathematics	Credibility, accuracy and readability of patient-oriented information about low back pain on Brazilian websites: a mixed-method review	journal-article	http://dx.doi.org/10.5935/2595-0118.20220069-en	6	BRJP	2022	NA	NA	NA	NA	NA	Thamiris Prazeres Alonso, Raiany Pires dos Santos, Igor Macedo Tavares Correia, Leandro Alberto Calazans Nogueira, Ney Meziat-Filho, Felipe José Jandre Reis	2022	0	FALSE	NA	NA	B1	NA
Jornal Brasileiro de Psiquiatria	2018-12-15	2018-12-29	NA	10.1590/0047-2085000000215	2023-02-05	1982-0208,0047-2085	4	2018-12	530	273-277	10.1590	FapUNIFESP (SciELO)	1	Crossref	15	15	3	Psychiatry and Mental health	Cross-cultural adaptation of the Revised Neurophysiology of Pain Questionnaire into Brazilian Portuguese language	journal-article	http://dx.doi.org/10.1590/0047-2085000000215	67	J. bras. psiquiatr.	2018-12	NA	NA	NA	NA	NA	Leandro Alberto Calazans Nogueira, Aline de Oliveira Chaves, Nathalia Oliveira, Renato Santos de Almeida, Felipe José Jandre Reis, Fernanda Guimarães de Andrade, Mark Jon Catley	2018	3	TRUE	1.1	0.193	B3	NA
Journal of Physical Therapy Science	2015-04-29	2019-08-24	2015	10.1589/jpts.27.1223	2023-04-15	0915-5287,2187-5626	4	2015	533	1223-1225	10.1589	Society of Physical Therapy Science	1	Crossref	11	11	9	Physical Therapy, Sports Therapy and Rehabilitation	Decreasing fall risk in spinocerebellar ataxia	journal-article	http://dx.doi.org/10.1589/jpts.27.1223	27	J Phys Ther Sci	NA	en	NA	NA	NA	NA	Laura Alice Santos de Oliveira, Camilla Polonini Martins, Carlos Henrique Ramos Horsczaruk, Débora Cristina Lima da Silva, José Vicente Pereira Martins, Luiz Felipe Rocha Vasconcelos, Erika de Carvalho Rodrigues	2015	9	TRUE	NA	NA	C	NA
Medical &amp; Biological Engineering &amp; Computing	2022-05-10	2022-06-24	2022-07	10.1007/s11517-022-02584-2	2022-06-24	0140-0118,1741-0444	7	2022-05-10	297	2001-2014	10.1007	Springer Science and Business Media LLC	1	Crossref	57	57	0	Computer Science Applications,Biomedical Engineering	Determining airflow obstruction from tracheal sound analysis: simulated tests and evaluations in patients with acromegaly	journal-article	http://dx.doi.org/10.1007/s11517-022-02584-2	60	Med Biol Eng Comput	2022-05-10	en	http://dx.doi.org/10.1007/springer_crossmark_policy	NA	NA	NA	Newton A. Lima Junior, Nayara V. Oliveira, Ana B. W. Tavares, Agnaldo J. Lopes, Pedro L. Melo	2022	0	FALSE	6.1	0.653	A3	NA
Medical &amp; Biological Engineering &amp; Computing	2020-08-10	2021-08-09	2020-10	10.1007/s11517-020-02240-7	2023-05-17	0140-0118,1741-0444	10	2020-08-10	297	2455-2473	10.1007	Springer Science and Business Media LLC	1	Crossref	96	96	6	Computer Science Applications,Biomedical Engineering	Differential diagnosis of asthma and restrictive respiratory diseases by combining forced oscillation measurements, machine learning and neuro-fuzzy classifiers	journal-article	http://dx.doi.org/10.1007/s11517-020-02240-7	58	Med Biol Eng Comput	2020-08-10	en	http://dx.doi.org/10.1007/springer_crossmark_policy	NA	NA	NA	Jorge L. M. Amaral, Alexandre G. Sancho, Alvaro C. D. Faria, Agnaldo J. Lopes, Pedro L. Melo	2020	6	FALSE	6.1	0.653	A3	NA
Cuadernos de Psicología del Deporte	2020-01-22	2020-01-22	NA	10.6018/cpd.339631	2022-04-05	1989-5879	2	2019-03-18	4046	147-159	10.6018	Servicio de Publicaciones de la Universidad de Murcia	1	Crossref	0	0	0	General Engineering	Dissimilaridade entre o estado de humor, humor deprimido e qualidade de vida em atletas com deficiência visual	journal-article	http://dx.doi.org/10.6018/cpd.339631	19	CPD	2019-03-18	NA	NA	NA	NA	NA	Patricia dos Santos Vigário, Julia Ribeiro Lemos, Míriam Raquel Meira Mainenti, Angela Nogueira Neves	2019	0	TRUE	NA	NA	NA	NA
European Journal of Physical and Rehabilitation Medicine	2022-01-20	2022-04-28	2022-04	10.23736/s1973-9087.21.06894-5	2022-12-23	1973-9087,1973-9095	2	2022-04	17149	NA	10.23736	Edizioni Minerva Medica	1	Crossref	40	40	1	Rehabilitation,Physical Therapy, Sports Therapy and Rehabilitation	Does group-based high-intensity aerobic interval training improve the inflammatory status in patients with chronic heart failure?	journal-article	http://dx.doi.org/10.23736/s1973-9087.21.06894-5	58	Eur J Phys Rehabil Med	NA	NA	NA	NA	NA	NA	Jannis V. PAPATHANASIOU, Ivo PETROV, Dorothea TSEKOURA, Yannis DIONYSSIOTIS, Arthur S. FERREIRA, Agnaldo J. LOPES, Concetta LJOKA, Calogero FOTI	2022	1	TRUE	7.3	1.019	A2	NA
Archives of Endocrinology and Metabolism	2015-07-22	2020-09-05	2016-06	10.1590/2359-3997000000079	2022-10-31	2359-3997	3	2016-06	8510	236-245	10.20945	Archives of Endocrinology and Metabolism	1	Crossref	40	40	2	Endocrinology, Diabetes and Metabolism	Does low serum TSH within the normal range have negative impact on physical exercise capacity and quality of life of healthy elderly people?	journal-article	http://dx.doi.org/10.1590/2359-3997000000079	60	Arch. Endocrinol. Metab.	NA	NA	NA	NA	NA	NA	Dhiãnah Santini de Oliveira Chachamovitz, Patrícia dos Santos Vigário, Rafael Cavalcante Carvalho, Diego Henrique da Silva Silvestre, Ana Eduarda Vieira Moerbeck, Mariana Guimarães Soffientini, Érika Luciana Gomes Luna, Clara Werner Rosemberg, Míriam Raquel Meira Mainenti, Mário Vaisman, Patricia de Fátima dos Santos Teixeira	2016	2	TRUE	3.1	0.429	B2	NA
Asian Journal of Sports Medicine	2018-03-11	2023-01-15	NA	10.5812/asjsm.63946	2023-01-16	2008-000X,2008-7209	1	2018-03-11	3819	NA	10.5812	Briefland	1	Crossref	43	43	3	Orthopedics and Sports Medicine	Does the Kinesio Tape Provide more Knee Extensor Torque?	journal-article	http://dx.doi.org/10.5812/asjsm.63946	9	Asian J Sports Med	2018-03-11	NA	http://dx.doi.org/10.5555/crossmark_policy	NA	NA	NA	Mauricio dos Santos Soares, Agnaldo Jose Lopes, Patricia dos Santos Vigario, Marcio Puglia Souza, Helcio Figueiredo da Costa, Lilian Ramiro Felicio	2018	3	TRUE	1.0	0.183	B1	NA
BMC Research Notes	2019-11-07	2020-11-06	2019-12	10.1186/s13104-019-4767-1	2023-01-03	1756-0500	1	2019-11-07	297	NA	10.1186	Springer Science and Business Media LLC	1	Crossref	29	29	3	General Biochemistry, Genetics and Molecular Biology,General Medicine	Does the nitrogen single-breath washout test contribute to detecting pulmonary involvement in rheumatoid arthritis? A pilot study	journal-article	http://dx.doi.org/10.1186/s13104-019-4767-1	12	BMC Res Notes	2019-11-07	en	http://dx.doi.org/10.1007/springer_crossmark_policy	NA	NA	NA	Elizabeth Jauhar Cardoso Bessa, Felipe de Miranda Carbonieri Ribeiro, Geraldo da Rocha Castelar Pinheiro, Agnaldo José Lopes	2019	3	TRUE	4.2	0.534	B1	NA
Fisioterapia Brasil	2018-12-21	2022-12-02	NA	10.33233/fb.v11i2.1349	2022-12-02	2526-9747,1518-9740	2	2017-12-08	18483	99-102	10.33233	Convergences Editorial	1	Crossref	0	0	1	General Medicine	Efeito da imagética motora sobre a onda alfa em imagéticos visuais e cinestésicos	journal-article	http://dx.doi.org/10.33233/fb.v11i2.1349	11	Fisioter Bras	2017-12-08	NA	NA	NA	NA	NA	Paulo Alexandre Azevedo	2017	1	TRUE	NA	NA	B2	NA
Fisioterapia Brasil	2018-12-20	2022-12-01	NA	10.33233/fb.v19i1.2182	2022-12-02	2526-9747,1518-9740	1	2018-03-17	18483	58-64	10.33233	Convergences Editorial	1	Crossref	0	0	0	General Medicine	Efeito de pistas auditivas rí­tmicas na marcha de pacientes com Doença de Parkinson	journal-article	http://dx.doi.org/10.33233/fb.v19i1.2182	19	Fisioter Bras	2018-03-17	NA	NA	NA	NA	NA	Wilma Costa Souza, Gabriela de Oliveira Lima Paim, Alba Barros Souza Fernandes, Marco Felipe Bouzada, Marco Orsini	2018	0	TRUE	NA	NA	B2	NA
Fisioterapia Brasil	2018-12-21	2022-12-02	NA	10.33233/fb.v18i2.796	2022-12-02	2526-9747,1518-9740	2	2017-05-02	18483	180-188	10.33233	Convergences Editorial	1	Crossref	0	0	0	General Medicine	Efeito imediato da técnica de mobilização nas interfaces fasciais profundas da região peitoral em pacientes submetidas í  mastectomia	journal-article	http://dx.doi.org/10.33233/fb.v18i2.796	18	Fisioter Bras	2017-05-02	NA	NA	NA	NA	NA	José Roberto de Abreu Prado Junior, Kelly Rosane Inocêncio, André Custódio Da Silva, Marcia dos Santos Almeida, Anke Bergmann, Júlio Guilherme Silva	2017	0	TRUE	NA	NA	B2	NA
Revista Dor	2017-11-14	2017-11-14	2017	10.5935/1806-0013.20170132	2022-04-03	1806-0013	4	2017	3948	NA	10.5935	GN1 Genesis Network	1	Crossref	0	0	1	Insect Science,Ecology,Ecology, Evolution, Behavior and Systematics	Effect of a physiotherapy program in patient with persistent polyarthralgia after chikungunya fever. Case report	journal-article	http://dx.doi.org/10.5935/1806-0013.20170132	18	NA	NA	en	NA	NA	NA	NA	Alexsandro da Silva Oliveira, Júlio Guilherme Silva	2017	1	TRUE	NA	NA	A3	NA
Journal of Functional Morphology and Kinesiology	2017-06-19	2022-07-29	NA	10.3390/jfmk2020021	2022-07-29	2411-5142	2	2017-06-19	1968	21	10.3390	MDPI AG	1	Crossref	49	49	2	Physical Therapy, Sports Therapy and Rehabilitation,Orthopedics and Sports Medicine,Histology,Rheumatology,Anatomy	Effect of Cervical Kinesthetic Motor Imagery on Postural Control of Healthy Young Adults with Fear of Falling	journal-article	http://dx.doi.org/10.3390/jfmk2020021	2	JFMK	2017-06-19	en	NA	NA	NA	NA	Nélio Silva de Souza, Ana Martins, Caroline Ferreira, Yasmin Motizuki, Christiano Machado, Marco Orsini, Marco Leite, Victor Bastos	2017	2	TRUE	3.7	0.581	B1	NA
Brazilian Journal of Physical Therapy	2010-06-30	2014-08-10	NA	10.1590/s1413-35552010005000001	2022-09-08	1413-3555	2	2010-04	530	127-132	10.1590	FapUNIFESP (SciELO)	1	Crossref	0	0	5	Rehabilitation,Orthopedics and Sports Medicine,Physical Therapy, Sports Therapy and Rehabilitation	Effect of continuous positive airway pressure on fluid absorption among patients with pleural effusion due to tuberculosis	journal-article	http://dx.doi.org/10.1590/s1413-35552010005000001	14	Rev. bras. fisioter.	2010-04	en	NA	NA	NA	NA	Juliana F. Oliveira, Fernanda C. Q. Mello, Rosana S. Rodrigues, Ana L. Boechat, Marcus B. Conde, Sara L. S. Menezes	2010	5	TRUE	6.4	0.975	A2	NA
Revista Andaluza de Medicina del Deporte	2020-10-27	2020-10-27	NA	10.33155/j.ramd.2019.12.003	2022-04-05	2172-5063,1888-7546	2	2019-12-04	18532	87-91	10.33155	Centro Andaluz de Medicina del Deporte	1	Crossref	0	0	0	Physiology (medical),Orthopedics and Sports Medicine	Effect of pre-fatiguing the triceps brachii on subsequent strength performance and myoelectric activity in the barbell, dumbbell and Smith machine bench press	journal-article	http://dx.doi.org/10.33155/j.ramd.2019.12.003	13	Rev And Med Dep	2019-12-04	NA	NA	NA	NA	NA	Déborah De Araújo Farias, Gabriel Andrade Paz, Patrícia Dos Santos Vigário, Jeffrey M. Willardson, Ewertton De Souza Bezerra, Humberto Miranda	2019	0	FALSE	0.4	NA	B1	NA
Journal Health NPEPS	2020-12-04	2020-12-04	NA	10.30681/252610104555	2022-04-01	2526-1010	2	2020	12137	179-194	10.30681	Universidade do Estado do Mato Grosso - UNEMAT	1	Crossref	0	0	0	NA	Effectiveness of a musculoskeletal injury preventive program in elite beach volleyball players: a retrospective study	journal-article	http://dx.doi.org/10.30681/252610104555	5	J Health NPEPS	2020	NA	NA	NA	NA	NA	Vinícius Soares Santos, Fábio Luís Feitosa Fonseca, Marco Antônio Serquiz, Leticia Amaral Corrêa, Bruno Tirotti Saragiotto, Leandro Alberto Calazans Nogueira	2020	0	TRUE	NA	NA	B2	NA
Journal of Bodywork and Movement Therapies	2023-04-12	2023-06-08	2023-04	10.1016/j.jbmt.2023.04.017	2023-06-08	1360-8592	NA	2023-04	78	81-86	10.1016	Elsevier BV	1	Crossref	33	33	0	Complementary and alternative medicine,Rehabilitation,Physical Therapy, Sports Therapy and Rehabilitation,Complementary and Manual Therapy	Effects of foam rolling and strength training on post exercise hypotension in normotensive women: A cross-over study	journal-article	http://dx.doi.org/10.1016/j.jbmt.2023.04.017	34	Journal of Bodywork and Movement Therapies	NA	en	http://dx.doi.org/10.1016/elsevier_cm_policy	NA	NA	NA	Estêvão Rios Monteiro, Jakob L. Vingren, Linda S. Pescatello, Victor Gonçalves Corrêa Neto, Amanda Fernandes Brown, J. Derek Kingsley, Julio Guilherme Silva, Jeferson Macedo Vianna, Jefferson da Silva Novaes	2023	0	FALSE	2.5	0.404	A2	NA
Biomedical Human Kinetics	2020-03-13	2023-04-19	2020-01-01	10.2478/bhk-2020-0008	2023-04-19	2080-2234	1	2020-01-01	374	59-68	10.2478	Walter de Gruyter GmbH	1	Crossref	39	39	3	Orthopedics and Sports Medicine,Physical Therapy, Sports Therapy and Rehabilitation	Effects of intermittent negative pressure and active recovery therapies in the post-match period in elite soccer players: A randomized, parallel arm, comparative study	journal-article	http://dx.doi.org/10.2478/bhk-2020-0008	12	NA	2020-03-09	en	NA	NA	NA	NA	Alex Souto Maior, Marcio Tannure, Fábio Eiras, Arthur de Sá Ferreira	2020	3	TRUE	1.7	0.245	B1	NA
Iberoamerican Journal of Medicine	2022-07-24	2022-07-24	NA	10.53986/ibjm.2022.0028	2023-04-11	2695-5075	3	2022-07-16	32236	157-163	10.53986	Iberoamerican Journal of Medicine	1	Crossref	0	0	1	NA	Effects of neural mobilization in the treatment of chronic low back pain: a systematic review	journal-article	http://dx.doi.org/10.53986/ibjm.2022.0028	4	Iberoam J Med	2022-07-16	NA	NA	NA	NA	NA	Suelen Carla Souza de Faria, NA NA, Renato Carvalho Vilella, Laiz Helena de Castro Toledo Guimaraes, Luciana Crepaldi Lunkes, NA NA, NA NA, NA NA, NA NA	2022	1	TRUE	NA	NA	NA	NA
Journal of Child Health Care	2018-01-12	2020-12-09	2018-06	10.1177/1367493517752500	2023-04-01	1367-4935,1741-2889	2	2018-01-11	179	216-227	10.1177	SAGE Publications	1	Crossref	37	37	6	Pediatrics,Pediatrics, Perinatology and Child Health	Effects of underwater bubble CPAP on very-low-birth-weight preterm newborns in the delivery room and after transport to the neonatal intensive care unit	journal-article	http://dx.doi.org/10.1177/1367493517752500	22	J Child Health Care	2018-01-11	en	http://dx.doi.org/10.1177/sage-journals-update-policy	NA	NA	NA	Vera Lucia Barros Abelenda, Tania Cristina Oliveira Valente, Cirlene Lima Marinho, Agnaldo José Lopes	2018	6	FALSE	3.8	0.677	A1	NA
Entropy	2019-02-27	2019-02-27	NA	10.3390/e21030225	2022-12-06	1099-4300	3	2019-02-27	1968	225	10.3390	MDPI AG	1	Crossref	71	71	1	General Physics and Astronomy	Entropy Analysis for the Evaluation of Respiratory Changes Due to Asbestos Exposure and Associated Smoking	journal-article	http://dx.doi.org/10.3390/e21030225	21	Entropy	2019-02-27	en	NA	NA	NA	NA	Paula Sá, Hermano Castro, Agnaldo Lopes, Pedro Melo	2019	1	TRUE	4.7	0.541	A2	NA
Fisioterapia Brasil	2018-12-20	2022-12-01	NA	10.33233/fb.v19i1.2176	2022-12-02	2526-9747,1518-9740	1	2018-03-17	18483	3-12	10.33233	Convergences Editorial	1	Crossref	0	0	0	General Medicine	Estado funcional de pacientes com quadro crônico de ciatalgia	journal-article	http://dx.doi.org/10.33233/fb.v19i1.2176	19	Fisioter Bras	2018-03-17	NA	NA	NA	NA	NA	Renato Santos De Almeida, Eduardo Machado, Letí­cia Amaral Correa, Raí­za de Sousa Cabral, Vivian Pinto De Almeida, Leandro Alberto Calazans Nogueira	2018	0	TRUE	NA	NA	B2	NA
Journal of Intensive Care Medicine	2013-04-11	2021-05-05	2015-01	10.1177/0885066613483265	2022-11-30	0885-0666,1525-1489	1	2013-04-10	179	37-43	10.1177	SAGE Publications	1	Crossref	36	36	10	Critical Care and Intensive Care Medicine	Evaluation of a New Index of Mechanical Ventilation Weaning	journal-article	http://dx.doi.org/10.1177/0885066613483265	30	J Intensive Care Med	2013-04-10	en	http://dx.doi.org/10.1177/sage-journals-update-policy	The Timed Inspiratory Effort	NA	NA	Leonardo Cordeiro de Souza, Fernando Silva Guimarães, Jocemir Ronaldo Lugon	2013	10	FALSE	6.7	1.039	A2	NA
Brazilian Journal Of Pain	2021-03-31	2021-03-31	2021	10.5935/2595-0118.20210023	2022-04-01	2595-0118	NA	2021	3948	NA	10.5935	GN1 Genesis Network	1	Crossref	0	0	0	Applied Mathematics	Evaluation of an on-line resource for pain education by health professionals and
            people with musculoskeletal pain	journal-article	http://dx.doi.org/10.5935/2595-0118.20210023	NA	NA	NA	en	NA	NA	NA	NA	Marcella Nobre Martins, Pamela Martin Bandeira, Ney Meziat-Filho, Leandro Calazans Nogueira, Felipe José Jandre dos Reis	2021	0	TRUE	NA	NA	B1	NA
Revista Dor	2016-02-23	2016-12-26	2016	10.5935/1806-0013.20160008	2022-04-02	1806-0013	1	2016	3948	NA	10.5935	GN1 Genesis Network	1	Crossref	0	0	2	Insect Science,Ecology,Ecology, Evolution, Behavior and Systematics	Evaluation of physiologic pain knowledge by physiotherapy students	journal-article	http://dx.doi.org/10.5935/1806-0013.20160008	17	NA	NA	en	NA	NA	NA	NA	Elen Soares Marques, Thiago Xarles, Thuany Medeiros Antunes, Karla Kristine Dames da Silva, Felipe José Jandre Reis, Laura Alice Santos de Oliveira, Leandro Alberto Calazans Nogueira	2016	2	TRUE	NA	NA	A3	NA
