journal	created	deposited	published.print	doi	indexed	issn	issue	issued	member	page	prefix	publisher	score	source	reference.count	references.count	is.referenced.by.count	subject	title	type	url	volume	abstract	short.container.title	published.online	language	update.policy	subtitle	archive_	na.	archive	author.names	published_on	citations	is_oa	CiteScore	SJR	WebQualis
Fisioterapia Brasil	2018-12-21	2022-12-01	NA	10.33233/fb.v18i5.1289	2023-02-10	2526-9747,1518-9740	5	2018-02-27	18483	598-607	10.33233	Convergences Editorial	1	Crossref	0	0	1	General Medicine	Comparação entre o método Reequilí­brio Toracoabdominal e a fisioterapia respiratória convencional em recém-nascidos com taquipneia transitória: um ensaio clí­nico randomizado	journal-article	http://dx.doi.org/10.33233/fb.v18i5.1289	18	<jats:p>Introdução: Recém-nascidos acometidos pela taquipneia transitória do recém-nascido (TTRN) cursam com desequilí­brio da biomecânica toracoabdominal e desconforto respiratório e necessitam de cuidados especiais. A fisioterapia respiratória convencional em recém-nascidos tem efeitos adversos, podendo ser o método reequilí­brio toracoabdominal (RTA) uma alternativa terapêutica. Objetivo: Comparar a fisioterapia respiratória convencional com o método RTA em recém-nascidos com TTRN. Métodos: Ensaio clí­nico intervencional, comparativo e randomizado. 49 recém-nascidos foram divididos em dois grupos: fisioterapia respiratória convencional (n=20) e RTA (n=29). Parâmetros fisiológicos (frequência respiratória, frequência cardí­aca, saturação de pulso de oxigênio, temperatura axila), dor, estado comportamental, desconforto respiratório e desequilí­brio da biomecânica respiratória foram avaliados antes e após os manuseios. Resultados: A mediana da idade gestacional foi 38 semanas e a do peso de nascimento 2.940 g. Após os manuseios, não houve diferença entre os grupos quanto í  dor (p=0,63), o estado comportamental (p=0,11) e os parâmetros fisiológicos (frequência respiratória, p=0,18; frequência cardí­aca, p=0,82; SpO2, p=0,74; temperatura axila, p=0,29). O método RTA mostrou-se superior a fisioterapia respiratória convencional na melhora da biomecânica respiratória (elevação do esterno, p=0,01; elevação dos ombros, p=0,02) e do desconforto respiratório (p=0,009). Conclusão: O método RTA mostrou-se seguro e superior í  fisioterapia respiratória convencional em recém-nascidos com TTRN.Palavras-chave: recém-nascido, taquipneia transitória do recém-nascido, modalidades de fisioterapia.Â </jats:p>	Fisioter Bras	2018-02-27	NA	NA	NA	NA	NA	NA	Miriana Carvalho De Oliveira, Cristina Ortiz Sobrinho, Marco Orsini	2018	1	TRUE	NA	NA	B2
Journal of Physical Therapy Science	2014-06-29	2022-04-09	2014	10.1589/jpts.26.801	2022-12-16	0915-5287,2187-5626	6	2014	533	801-804	10.1589	Society of Physical Therapy Science	1	Crossref	18	18	4	Physical Therapy, Sports Therapy and Rehabilitation	Comparative Analysis Electroencephalographic of Alpha, Beta and Gamma Bands of a Healthy Individual and One with Hemiparesis	journal-article	http://dx.doi.org/10.1589/jpts.26.801	26	NA	J Phys Ther Sci	NA	en	NA	NA	NA	NA	NA	Dionis de Castro Dutra Machado, Glenda Crispim Lima, Rodrigo Souza dos Santos, Amanda Júlia Bezerra Ramos, Cáio César Menezes de Sousa, Rayele Pricila Moreira dos Santos, Karyna Kelly Oliveira Coelho, Mauricio Cagy, Marco Orsini, Victor Hugo Bastos	2014	4	TRUE	NA	NA	C
Lung	2011-08-18	2019-05-28	2011-10	10.1007/s00408-011-9316-1	2023-06-08	0341-2040,1432-1750	5	2011-08-20	297	425-431	10.1007	Springer Science and Business Media LLC	1	Crossref	29	29	16	Pulmonary and Respiratory Medicine	Comparison Between Cardiopulmonary Exercise Testing Parameters and Computed Tomography Findings in Patients with Thoracic Sarcoidosis	journal-article	http://dx.doi.org/10.1007/s00408-011-9316-1	189	NA	Lung	2011-08-20	en	NA	NA	NA	NA	NA	Agnaldo José Lopes, Sara Lucia Silveira de Menezes, Cristina Márcia Dias, Juliana Flávia de Oliveira, Míriam Raquel Meira Mainenti, Fernando Silva Guimarães	2011	16	FALSE	6.4	1,173	B1
Gynecologic Oncology	2014-08-14	2019-08-13	2014-11	10.1016/j.ygyno.2014.08.014	2023-03-03	0090-8258	2	2014-11	78	292-296	10.1016	Elsevier BV	1	Crossref	41	41	13	Obstetrics and Gynecology,Oncology	Comparison of adenocarcinoma (ACA) and squamous cell carcinoma (SCC) of the uterine cervix in a sub-optimally screened cohort: A population-based epidemiologic study of 51,842 women in Brazil	journal-article	http://dx.doi.org/10.1016/j.ygyno.2014.08.014	135	NA	Gynecologic Oncology	NA	en	http://dx.doi.org/10.1016/elsevier_cm_policy	NA	NA	NA	NA	Angélica Nogueira-Rodrigues, Carlos Gil Ferreira, Anke Bergmann, Suzana Sales de Aguiar, Luiz Claudio Santos Thuler	2014	13	FALSE	8.4	1,674	A1
MOJ Sports Medicine	2022-01-06	2022-01-06	NA	10.15406/mojsm.2020.04.00099	2022-11-22	2574-9935	3	2020-07-21	6139	81-85	10.15406	MedCrave Group, LLC	1	Crossref	0	0	2	Electrical and Electronic Engineering,Building and Construction	Comparison of ankle range of motion and functional performance between practitioners of resistance exercise with free-weight vs. Machine	journal-article	http://dx.doi.org/10.15406/mojsm.2020.04.00099	4	<jats:p>The purpose of this investigation was to compare ankle functional performance and ankle range of motion (ROM) between practitioners of resistance exercise (RE) with free-weights versus machines. Twenty-five men participated in this study. They were separated into two groups: (a) Free-weights; and (b) Machines. All subjects practiced regularly RE 5.3±0.7 d∙wk-1 and low aerobic training of 1.2±0.5 d∙wk-1 with a total time volume of 254.9±9.4 min∙wk-1. ROM measurements were taken in both ankles with a digital goniometer. Active ankle-dorsiflexion and plantar flexion range of motion were measured with subjects lying prone with an extended knee on a standard treatment table. The rising on the heel and the rising on toes were used to assess endurance of the ankle dorsiflexor and plantar flexor muscles, respectively. Ankle functional stability was assessed with the Single Leg Hop Test in both limbs. Ankle-dorsiflexion ROM showed a significant difference (Δ% left=21.1%; Δ% right=25.8%; P&lt;0.01) between the Machines Group when compared to the Free-weights Group. Rising on the heel and rising on the toes showed no significant differences between the 2 groups (i.e., free-weights versus machines) (P&gt;0.05). On the other hand, the Single Leg Hop Test (Δ% left=16.3%; Δ% right=15.4%; P&lt;0.05) and number of jumps (Δ% left=27.9 %; Δ% right=26.1 %; P&lt;0.05) recorded were lower in the Free-weights Group compared to the Machines Group. This study found a greater ankle-dorsiflexion ROM and performance during the Single Leg Hop Test in practitioners of RE with free-weights, showing a better control of sagittal plane movements.</jats:p>	MOJSM	2020-07-21	NA	http://dx.doi.org/10.15406/crossmark-policy	NA	NA	NA	NA	Alex Souto Maior, Eduardo Lobo, Marcos Braz, José Carlos de Campos Jr, Gustavo Leporace	2020	2	TRUE	NA	NA	B4
Brazilian Journal Of Pain	2020-08-17	2020-08-17	2020	10.5935/2595-0118.20200187	2022-04-23	2595-0118	3	2020	3948	NA	10.5935	GN1 Genesis Network	1	Crossref	0	0	2	Applied Mathematics	Comparison of the effect of two virtual reality stimuli on pressure pain sensitivity and autonomic response	journal-article	http://dx.doi.org/10.5935/2595-0118.20200187	3	NA	NA	NA	en	NA	NA	NA	NA	NA	Thayná Caetano Alves Silva, Pamela Martin Bandeira, Amanda Dutra da Silva Ranzatto, Ney Armando Meziat-Filho, Leandro Alberto Calazans Nogueira, Orlando Fernandes Júnior, Felipe José Jandre dos Reis	2020	2	TRUE	NA	NA	B1
Brazilian Journal Of Pain	2019-05-10	2020-09-03	2019	10.5935/2595-0118.20190030	2022-04-05	2595-0118	2	2019	3948	NA	10.5935	GN1 Genesis Network	1	Crossref	0	0	1	Applied Mathematics	ConheceDOR: the development of a board game for modern pain education for patients with musculoskeletal pain	journal-article	http://dx.doi.org/10.5935/2595-0118.20190030	2	NA	NA	NA	en	NA	NA	NA	NA	NA	Juliana Carvalho de Paiva Valentim, Ney Armando Meziat-Filho, Leandro Calazans Nogueira, Felipe J. Jandre Reis	2019	2	TRUE	NA	NA	B1
Acta Ortopédica Brasileira	2013-08-28	2022-03-05	2013-08	10.1590/s1413-78522013000400003	2023-05-10	1413-7852	4	2013-08	530	198-201	10.1590	FapUNIFESP (SciELO)	1	Crossref	30	30	4	Rehabilitation,Physical Therapy, Sports Therapy and Rehabilitation,Orthopedics and Sports Medicine	Contribuição da avaliação dos sinais clínicos em pacientes com síndrome da dor patelofemural	journal-article	http://dx.doi.org/10.1590/s1413-78522013000400003	21	<jats:p>OBJETIVO: Como a síndrome da dor patelofemoral (SDPF) é uma desordem comum, caracterizada por etiologia multifatorial e o mais prevalente sintoma na SDPF é uma dor difusa e usualmente localizada na região retropatelar, entretanto, com sinais e sintomas que podem estar relacionados como pronação subtalar excessiva, torsão tibial externa, alterações no deslocamento patelar, amplitude de movimento do joelho dolorosa, dor nas bordas patelares, tensão muscular e alterações no ângulo quadricipital (ângulo Q), o objetivo deste trabalho foi verificar a frequência destes sinais e sintomas associados a um questionário de dor anterior no joelho. MÉTODOS: Trinta e nove voluntárias sedentárias foram avaliadas, divididas em dois grupos, SDPF (19) e controle (20). Estas voluntárias foram avaliadas quanto aos sinais e sintomas supracitados além da avaliação da dor por meio de questionário. RESULTADOS: Os resultados demonstraram uma frequência elevada de relatos dolorosos em seis de treze questões, em relação ao grupo controle. CONCLUSÃO: De acordo com estes achados, concluímos que a avaliação funcional de indivíduos com SDFP deve ser constituída de um questionário de dor anterior no joelho e uma avaliação das características de sinais e sintomas para exame de todo o membro inferior estático e durante situações funcionais. Nível de Evidência II, Estudos Diagnósticos.</jats:p>	Acta ortop. bras.	NA	NA	NA	NA	NA	NA	NA	Rogério Ferreira Liporaci, Marcelo Camargo Saad, Lílian Ramiro Felício, Augusto do Prado Baffa, Débora Bevilaqua Grossi	2013	4	TRUE	1.0	0,286	B1
Brazilian Journal of Medical and Biological Research	2020-10-21	2021-01-24	NA	10.1590/1414-431x202010279	2022-03-31	1414-431X,0100-879X	12	2020	530	NA	10.1590	FapUNIFESP (SciELO)	1	Crossref	28	28	1	Cell Biology,General Pharmacology, Toxicology and Pharmaceutics,General Medicine,Immunology,Physiology,Biochemistry,General Neuroscience,Biophysics,Automotive Engineering	Contribution of lung function in predicting distance covered in the 6-min walk test in obese Brazilian women	journal-article	http://dx.doi.org/10.1590/1414-431x202010279	53	NA	Braz J Med Biol Res	2020	NA	NA	NA	NA	NA	NA	C.A. Luchesa, T.T. Mafort, R.R. Silva, I.C. Paro, F.M. Souza, A.J. Lopes	2020	1	TRUE	4.5	0,528	A3
Journal of Physical Education	2018-05-15	2018-05-15	NA	10.4025/jphyseduc.v29i1.2936	2023-03-27	2448-2455	1	2018	2451	NA	10.4025	Universidade Estadual de Maringa	1	Crossref	0	0	3	Public Health, Environmental and Occupational Health,Education	CONTROLE POSTURAL DE ATLETAS COM DIFERENTES GRAUS DE  DEFICIÊNCIA VISUAL	journal-article	http://dx.doi.org/10.4025/jphyseduc.v29i1.2936	29	NA	J Phys Educ	2018	NA	NA	NA	NA	NA	NA	Claudemir do Nascimento Santos, Thiago Lemos de Carvalho, Lilian Ramiro Felício, Míriam Raquel  Meira Mainenti, Patrícia dos Santos Vigário	2018	3	TRUE	0.7	0,165	B1
Revista Brasileira de Medicina do Esporte	2013-12-11	2020-08-11	2013-10	10.1590/s1517-86922013000500002	2022-04-06	1517-8692	5	2013-10	530	313-316	10.1590	FapUNIFESP (SciELO)	1	Crossref	30	30	2	Physical Therapy, Sports Therapy and Rehabilitation,Orthopedics and Sports Medicine	Controle postural e sistema vestíbulo-oculomotor em atletas de tiro esportivo da modalidade pistola	journal-article	http://dx.doi.org/10.1590/s1517-86922013000500002	19	<jats:p>INTRODUÇÃO: O tiro esportivo desenvolve nos atletas destreza, concentração e equilíbrio. A estabilidade do atirador depende da resistência deste contra perturbações internas e externas que afetem seu equilíbrio. OBJETIVO: Avaliar o controle postural e sistema vestíbulo-oculomotor de atletas atiradores de pistola. MÉTODO: Análise descritiva do tipo transversal. Avaliaram-se oito atletas com idade média de 37 anos (dp ± 8,11), afiliados à Confederação Brasileira de Tiro Esportivo. Utilizou-se prontuário sociodemográfico; estabilometria associada a simulador de tiro e sistema de videonistagmoscopia computadorizada. RESULTADOS: Observou-se em todos os voluntários, dominância motora à direita; metade deles atira com os dois olhos abertos; tempo médio de prática de 14 anos (dp ± 9) e média de treino semanal de 14 horas (dp ± 13). Metade relatou lesão associada ao tiro. Na estabilometria observou-se correlação nas velocidades anteroposterior e mediolateral.À videonistagmoscopia, nenhum atleta apresentou alteração patológica. CONCLUSÃO: O controle postural dos atletas avaliados possui alterações significativas para as velocidades de deslocamento do centro de pressão nas direções anteroposterior e mediolateral. O sistema vestíbulo-oculomotor não mostrou correlação com o controle postural e se apresentou sem alterações funcionais para todos os voluntários.</jats:p>	Rev Bras Med Esporte	NA	NA	NA	NA	NA	NA	NA	Carla Porto Lourenço, André Luís dos Santos Silva	2013	2	TRUE	0.8	0,177	B1
Neurology International	2015-09-24	2020-10-27	NA	10.4081/ni.2015.5417	2022-04-03	2035-8377,2035-8385	2	2015-09-24	1968	NA	10.3390	MDPI AG	1	Crossref	0	0	1	Neurology (clinical)	Controlled study of correlation of biomechanical profile of hemiparetic patients with distance travelled in six minutes	journal-article	http://dx.doi.org/10.4081/ni.2015.5417	7	<jats:p>The six-minute walking test (6MWT) is used to assess exercise tolerance that is associated with motor function of the lower limbs in hemiparetic patients. It is suggested that, for post-stroke subjects, performance in the 6MWT may be limited by biomechanical and cardiovascular factors. Our aim is to determine the correlation between the six-minute walk distance (6MWD) and the biomechanical profile of hemiparetic patients. During this cross-sectional controlled study, 10 hemiparetic patients with heart failure underwent 6MWT (ATS protocol). Tonus (Ashworth Scale) and goniometry of the lower limbs were measured. The average of 6MWD in two tests was 279±8 m. There was a negative correlation between the degree of spasticity for both the sural triceps (r=−0.57, P&amp;lt;0.05), quadriceps (r=−0.58, P&amp;lt;0.05) and the limitation in ankle dorsiflexion and the 6MWD (r=−0.76, P&amp;lt;0.05). Also, there was correlation between hip extension and ankle dorsiflexion limitations with 6MWD (r=0.66, P&amp;lt;0.05), (r=0.77, P&amp;lt;0.05). The negative correlation between the highest spasticity in paretic limb and the 6MWD and the correlation between the lower movement range of paretic hip and ankle suggest association with these factors and gait velocity in 6MWT. Loss percentage represents the percentage calculation between distance traveled and the distance predicted achieved by patients. In this study, the negative correlation between the percentage of loss of 6MWD and the limitation in the ankle dorsiflexion movement suggests that for a minor motion arch of the ankle, there is a higher percentage of walking distance loss foretold.</jats:p>	Neurol Int	2015-09-24	NA	NA	NA	NA	NA	NA	Laís Moreira Moura, Mônica Maria Pena Quintão, Karen Santos R. De Carvalho, Beatriz Cantanhede Carrapatoso, Sabrina Lindenberg L. Malfacini, André Custódio Da Silva, Marco Orsini, Osvaldo J.M. Nascimento, Sergio S.M.C. Chermont	2015	1	TRUE	2.2	0,448	B2
Lung	2014-07-21	2022-04-11	2014-10	10.1007/s00408-014-9626-1	2022-12-06	0341-2040,1432-1750	5	2014-07-22	297	653-659	10.1007	Springer Science and Business Media LLC	1	Crossref	42	42	18	Pulmonary and Respiratory Medicine	Correlations Between Small Airway Function, Ventilation Distribution, and Functional Exercise Capacity in COPD Patients	journal-article	http://dx.doi.org/10.1007/s00408-014-9626-1	192	NA	Lung	2014-07-22	en	http://dx.doi.org/10.1007/springer_crossmark_policy	NA	NA	NA	NA	Agnaldo José Lopes, Thiago Thomaz Mafort	2014	18	FALSE	6.4	1,173	B1
NeuroImage: Clinical	2019-04-01	2019-08-28	2019	10.1016/j.nicl.2019.101808	2023-05-18	2213-1582	NA	2019	78	101808	10.1016	Elsevier BV	1	Crossref	79	79	2	Cognitive Neuroscience,Neurology (clinical),Neurology,Radiology, Nuclear Medicine and imaging	Cortical lateralization of cheirosensory processing in callosal dysgenesis	journal-article	http://dx.doi.org/10.1016/j.nicl.2019.101808	23	NA	NeuroImage: Clinical	NA	en	http://dx.doi.org/10.1016/elsevier_cm_policy	NA	NA	NA	NA	Myriam Monteiro, Ricardo de Oliveira-Souza, Juliana Andrade, Theo Marins, Erika de Carvalho Rodrigues, Ivanei Bramati, Roberto Lent, Jorge Moll, Fernanda Tovar-Moll	2019	2	TRUE	8.1	1,395	A2
PLoS ONE	2014-04-14	2019-08-09	NA	10.1371/journal.pone.0094824	2023-05-29	1932-6203	4	2014-04-14	340	e94824	10.1371	Public Library of Science (PLoS)	1	Crossref	60	60	21	Multidisciplinary	Corticospinal Excitability Preceding the Grasping of Emotion-Laden Stimuli	journal-article	http://dx.doi.org/10.1371/journal.pone.0094824	9	NA	PLoS ONE	2014-04-14	en	http://dx.doi.org/10.1371/journal.pone.corrections_policy	NA	NA	NA	NA	Anaelli Aparecida Nogueira-Campos, Laura Alice Santos de Oliveira, Valeria Della-Maggiore, Paula Oliveira Esteves, Erika de Carvalho Rodrigues, Claudia D. Vargas	2014	21	TRUE	6.0	0,885	A1
Respiratory Care	2011-08-01	2023-02-10	2011-08	10.4187/respcare.01092	2023-06-06	0020-1324,1943-3654	8	2011-08	2694	1164-1169	10.4187	Daedalus Enterprises	1	Crossref	0	0	7	Critical Care and Intensive Care Medicine,Pulmonary and Respiratory Medicine,General Medicine	CPAP Decreases Lung Hyperinflation in Patients With Stable COPD	journal-article	http://dx.doi.org/10.4187/respcare.01092	56	NA	Respir Care	2012-11-26	en	NA	NA	NA	NA	NA	Agnaldo J Lopes, Flávio POS Nery, Felipe C Sousa, Fernando S Guimarães, Cristina M Dias, Juliana F Oliveira, Sara LS Menezes	2011	7	TRUE	4.1	0,656	A3
Brazilian Journal Of Pain	2023-02-08	2023-02-08	2022	10.5935/2595-0118.20220069-en	2023-02-09	2595-0118	1	2022	3948	NA	10.5935	GN1 Sistemas e Publicacoes Ltd.	1	Crossref	0	0	0	Applied Mathematics	Credibility, accuracy and readability of patient-oriented information about low back pain on Brazilian websites: a mixed-method review	journal-article	http://dx.doi.org/10.5935/2595-0118.20220069-en	6	NA	BRJP	2022	NA	NA	NA	NA	NA	NA	Thamiris Prazeres Alonso, Raiany Pires dos Santos, Igor Macedo Tavares Correia, Leandro Alberto Calazans Nogueira, Ney Meziat-Filho, Felipe José Jandre Reis	2022	0	FALSE	NA	NA	B1
Jornal Brasileiro de Psiquiatria	2018-12-15	2018-12-29	NA	10.1590/0047-2085000000215	2023-02-05	1982-0208,0047-2085	4	2018-12	530	273-277	10.1590	FapUNIFESP (SciELO)	1	Crossref	15	15	3	Psychiatry and Mental health	Cross-cultural adaptation of the Revised Neurophysiology of Pain Questionnaire into Brazilian Portuguese language	journal-article	http://dx.doi.org/10.1590/0047-2085000000215	67	<jats:p>ABSTRACT  Objective  To perform a cross-cultural adaptation of the Neurophysiology of Pain Questionnaire for the Brazilian population (NPQ-BR).  Methods  A translation and cross-cultural adaptation study were conducted in 11 stages according to standard procedures. Descriptive and inferential statistics were performed. The internal consistency of the questionnaire was assessed using Cronbach’s Alpha test (α).  Results  Four translators, six experts, twenty-one patients and ten physiotherapists participated in the study. The NPQ-BR was obtained after seven versions. The expert committee adapted four out of twelve items (item 1, 3, 11, and 12) to adapt the content of the instrument to the Brazilian context. The pre-test phase showed good internal consistency (α = 0.63). The comparison of the correct answers of the questionnaire between the groups (physical therapist group mean = 7.0 ± 1.7; patient group mean = 3.7 ± 2.1; p &lt; 0.01) confirmed the discriminative validity of the NPQ-BR.  Conclusion  The Neurophysiology of Pain Questionnaire was cross-culturally adapted into a Brazilian context and can be used to assess the level of neurophysiological knowledge of pain of Brazilian patients. The interpretation of the results of the NPQ-BR must be taken with caution due to the absence of a robust validation methodology of the instrument.</jats:p>	J. bras. psiquiatr.	2018-12	NA	NA	NA	NA	NA	NA	Leandro Alberto Calazans Nogueira, Aline de Oliveira Chaves, Nathalia Oliveira, Renato Santos de Almeida, Felipe José Jandre Reis, Fernanda Guimarães de Andrade, Mark Jon Catley	2018	3	TRUE	1.1	0,193	B3
Journal of Physical Therapy Science	2015-04-29	2019-08-24	2015	10.1589/jpts.27.1223	2023-04-15	0915-5287,2187-5626	4	2015	533	1223-1225	10.1589	Society of Physical Therapy Science	1	Crossref	11	11	9	Physical Therapy, Sports Therapy and Rehabilitation	Decreasing fall risk in spinocerebellar ataxia	journal-article	http://dx.doi.org/10.1589/jpts.27.1223	27	NA	J Phys Ther Sci	NA	en	NA	NA	NA	NA	NA	Laura Alice Santos de Oliveira, Camilla Polonini Martins, Carlos Henrique Ramos Horsczaruk, Débora Cristina Lima da Silva, José Vicente Pereira Martins, Luiz Felipe Rocha Vasconcelos, Erika de Carvalho Rodrigues	2015	9	TRUE	NA	NA	C
Medical &amp; Biological Engineering &amp; Computing	2022-05-10	2022-06-24	2022-07	10.1007/s11517-022-02584-2	2022-06-24	0140-0118,1741-0444	7	2022-05-10	297	2001-2014	10.1007	Springer Science and Business Media LLC	1	Crossref	57	57	0	Computer Science Applications,Biomedical Engineering	Determining airflow obstruction from tracheal sound analysis: simulated tests and evaluations in patients with acromegaly	journal-article	http://dx.doi.org/10.1007/s11517-022-02584-2	60	NA	Med Biol Eng Comput	2022-05-10	en	http://dx.doi.org/10.1007/springer_crossmark_policy	NA	NA	NA	NA	Newton A. Lima Junior, Nayara V. Oliveira, Ana B. W. Tavares, Agnaldo J. Lopes, Pedro L. Melo	2022	0	FALSE	6.1	0,653	A3
Medical &amp; Biological Engineering &amp; Computing	2020-08-10	2021-08-09	2020-10	10.1007/s11517-020-02240-7	2023-05-17	0140-0118,1741-0444	10	2020-08-10	297	2455-2473	10.1007	Springer Science and Business Media LLC	1	Crossref	96	96	6	Computer Science Applications,Biomedical Engineering	Differential diagnosis of asthma and restrictive respiratory diseases by combining forced oscillation measurements, machine learning and neuro-fuzzy classifiers	journal-article	http://dx.doi.org/10.1007/s11517-020-02240-7	58	NA	Med Biol Eng Comput	2020-08-10	en	http://dx.doi.org/10.1007/springer_crossmark_policy	NA	NA	NA	NA	Jorge L. M. Amaral, Alexandre G. Sancho, Alvaro C. D. Faria, Agnaldo J. Lopes, Pedro L. Melo	2020	6	FALSE	6.1	0,653	A3
Cuadernos de Psicología del Deporte	2020-01-22	2020-01-22	NA	10.6018/cpd.339631	2022-04-05	1989-5879	2	2019-03-18	4046	147-159	10.6018	Servicio de Publicaciones de la Universidad de Murcia	1	Crossref	0	0	0	General Engineering	Dissimilaridade entre o estado de humor, humor deprimido e qualidade de vida em atletas com deficiência visual	journal-article	http://dx.doi.org/10.6018/cpd.339631	19	<jats:p>O objetivo foi avaliar o estado de humor, o humor deprimido e a qualidade de vida de atletas de rendimento com deficiência visual, assim como a dissimilaridade entre estes constructos e a prática esportiva. Foi realizado um estudo seccional com 44 atletas com baixa visão ou cegueira total (26,8 ± 6,0 anos de idade; 72,7% homens), sendo 11 atletas de futebol de cinco, 14 de goalball, 2 de atletismo e 17 de judo. Os seguintes instrumentos na sua versão em portugues foram utilizados: (i) Profile of Mood States (POMS); (ii) Beck Depression Inventory (BDI) e (iii) Medical Outcomes Study 36-Item Short Form Health Survey (SF-36). Os participantes apresentaram o perfil de iceberg desejável para a POMS, 81,8% apresentou “nenhum risco” de transtorno depressivo e todos os escores dos domínios do SF-36 estavam acima da média. Foi encontrada correlação positiva entre a duração da sessão de treino e o fator “vigor” da POMS, dentre outras. Os participantes do estudo apresentaram perfil positivo nos estados de humor, baixo risco de ocorrência de transtorno depressivo e uma percepção positiva de qualidade de vida. Parece haver proximidade de elementos da prática esportiva com os estados de humor e domínios da qualidade de vida, e portanto devem ser acompanhados.</jats:p>	CPD	2019-03-18	NA	NA	NA	NA	NA	NA	Patricia dos Santos Vigário, Julia Ribeiro Lemos, Míriam Raquel Meira Mainenti, Angela Nogueira Neves	2019	0	TRUE	NA	NA	NA
European Journal of Physical and Rehabilitation Medicine	2022-01-20	2022-04-28	2022-04	10.23736/s1973-9087.21.06894-5	2022-12-23	1973-9087,1973-9095	2	2022-04	17149	NA	10.23736	Edizioni Minerva Medica	1	Crossref	40	40	1	Rehabilitation,Physical Therapy, Sports Therapy and Rehabilitation	Does group-based high-intensity aerobic interval training improve the inflammatory status in patients with chronic heart failure?	journal-article	http://dx.doi.org/10.23736/s1973-9087.21.06894-5	58	NA	Eur J Phys Rehabil Med	NA	NA	NA	NA	NA	NA	NA	Jannis V. PAPATHANASIOU, Ivo PETROV, Dorothea TSEKOURA, Yannis DIONYSSIOTIS, Arthur S. FERREIRA, Agnaldo J. LOPES, Concetta LJOKA, Calogero FOTI	2022	1	TRUE	7.3	1,019	A2
Archives of Endocrinology and Metabolism	2015-07-22	2020-09-05	2016-06	10.1590/2359-3997000000079	2022-10-31	2359-3997	3	2016-06	8510	236-245	10.20945	Archives of Endocrinology and Metabolism	1	Crossref	40	40	2	Endocrinology, Diabetes and Metabolism	Does low serum TSH within the normal range have negative impact on physical exercise capacity and quality of life of healthy elderly people?	journal-article	http://dx.doi.org/10.1590/2359-3997000000079	60	NA	Arch. Endocrinol. Metab.	NA	NA	NA	NA	NA	NA	NA	Dhiãnah Santini de Oliveira Chachamovitz, Patrícia dos Santos Vigário, Rafael Cavalcante Carvalho, Diego Henrique da Silva Silvestre, Ana Eduarda Vieira Moerbeck, Mariana Guimarães Soffientini, Érika Luciana Gomes Luna, Clara Werner Rosemberg, Míriam Raquel Meira Mainenti, Mário Vaisman, Patricia de Fátima dos Santos Teixeira	2016	2	TRUE	3.1	0,429	B2
Asian Journal of Sports Medicine	2018-03-11	2023-01-15	NA	10.5812/asjsm.63946	2023-01-16	2008-000X,2008-7209	1	2018-03-11	3819	NA	10.5812	Briefland	1	Crossref	43	43	3	Orthopedics and Sports Medicine	Does the Kinesio Tape Provide more Knee Extensor Torque?	journal-article	http://dx.doi.org/10.5812/asjsm.63946	9	NA	Asian J Sports Med	2018-03-11	NA	http://dx.doi.org/10.5555/crossmark_policy	NA	NA	NA	NA	Mauricio dos Santos Soares, Agnaldo Jose Lopes, Patricia dos Santos Vigario, Marcio Puglia Souza, Helcio Figueiredo da Costa, Lilian Ramiro Felicio	2018	3	TRUE	1.0	0,183	B1
BMC Research Notes	2019-11-07	2020-11-06	2019-12	10.1186/s13104-019-4767-1	2023-01-03	1756-0500	1	2019-11-07	297	NA	10.1186	Springer Science and Business Media LLC	1	Crossref	29	29	3	General Biochemistry, Genetics and Molecular Biology,General Medicine	Does the nitrogen single-breath washout test contribute to detecting pulmonary involvement in rheumatoid arthritis? A pilot study	journal-article	http://dx.doi.org/10.1186/s13104-019-4767-1	12	<jats:title>Abstract</jats:title>
              <jats:sec>
                <jats:title>Objective</jats:title>
                <jats:p>There has been growing interest in studying small airway disease through measures of ventilation distribution, thanks to the resurgence of the nitrogen single-breath washout (N<jats:sub>2</jats:sub>SBW) test. Therefore, this study evaluated the contribution of the N<jats:sub>2</jats:sub>SBW test to the detection of pulmonary involvement in patients with rheumatoid arthritis (RA).</jats:p>
              </jats:sec>
              <jats:sec>
                <jats:title>Results</jats:title>
                <jats:p>Twenty-one patients with RA underwent clinical evaluation, pulmonary function tests (PFTs), including the N2<jats:sub>S</jats:sub>BW test, and computed tomography (CT). The main tomographic findings were air trapping and bronchiectasis (57.1% and 23.8% of cases, respectively). According to the phase III slope of the N<jats:sub>2</jats:sub>SBW (phase III slope), 11 and 10 patients had values &lt; 120% predicted and &gt; 120% predicted, respectively. Five patients with limited involvement on CT had a phase III slope &gt; 120%. The residual volume/total lung capacity ratio was significantly different between patients with phase III slopes &lt; 120% and &gt; 120% (<jats:italic>P </jats:italic>= 0.024). Additionally, rheumatoid factor positivity was higher in patients with a phase III slope &gt; 120% (<jats:italic>P </jats:italic>= 0.021). In patients with RA and airway disease on CT, the N<jats:sub>2</jats:sub>SBW test detects inhomogeneity in the ventilation distribution in approximately half of the cases, even in those with normal conventional PFT results.</jats:p>
